,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Table for space types,,,,,,,,,,,,,,
id,nane,desc,Category,Default sf,Default Cost,,,,,,,,,
1,Storage closet,Storage space,admin,200,Summed up the elemtal codes with the settings and * the area,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Space type costs,,,,,,,,,,,,,,
name,code,Cost high,Csf avg,Csf low,Procurment type cmar,Procurment type Bid,Building tye Concrete,Building type Steel ,Building type met,Story 1,Story 2,Story 3,Story 4,
1,A10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,A20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,A30,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,B10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,B20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,B30,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,B40,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,C10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,C20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,C30,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,C40,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,C50,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,D10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,D20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,D30,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,D40,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,D50,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,E10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,E20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,E30,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,E40,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,E50,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,F10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,F20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,G10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,G20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,Z10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
1,Z20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
,,,,,,,,,,,,,,
Building level,,,,,,,,,,,,,,
Type,Code,Cost high,Csf avg,Cost low,Procurment type cmar,Procurment type Bid,Building tye Concrete,Building type Steel ,Building type met,Story 1,Story 2,Story 3,Story 4,
Elementary,A10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,A20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,A30,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,B10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,B20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,B30,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,B40,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,C10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,C20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,C30,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,C40,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,C50,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,D10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,D20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,D30,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,D40,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,D50,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,E10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,E20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,E30,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,E40,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,E50,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,F10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,F20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,G10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,G20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
Elementary,Z10,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
